,IDENTIFIER,LATEST ADMISSION DATE,RACE,GENDER,OFFENSE,Year,SENTENCE_DAYS,BOND_AMOUNT
752,ZZHECBJH,04/20/2018,HISPANIC,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018,731,80000
753,ZZHLZWRC,04/20/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,1096,100200
754,ZZHLECJB,02/27/2018,BLACK,M,OTHERS,2018,0,125000
755,ZZSRWEJL,04/20/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,122,50000
756,ZZSESZHS,04/20/2018,HISPANIC,M,"BURGLARY, THIRD DEGREE                DF",2018,304,145000
757,ZZSZLEJB,04/20/2018,BLACK,M,OTHERS,2018,1096,500000
758,ZZRWRSCZ,04/20/2018,WHITE,M,OTHERS,2018,120,7550
759,ZZRBCZRR,04/20/2018,BLACK,M,OTHERS,2018,0,600000
760,ZZRCLHJB,04/20/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,0,200500
761,ZZSERSBJ,04/20/2018,WHITE,F,OTHERS,2018,0,47500
762,ZZSERHJL,04/23/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,548,150100
763,ZZHSBLEH,04/23/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,20000
764,ZZHZSLES,04/23/2018,BLACK,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,200000
765,ZZSRWWEJ,04/23/2018,BLACK,F,OTHERS,2018,426,75100
766,ZZSECCSS,04/23/2018,WHITE,M,"ASSAULT, THIRD DEGREE                 AM",2018,60,500
767,ZZHZZRRC,04/23/2018,BLACK,M,OTHERS,2018,0,50000
768,ZZRHLJRE,04/23/2018,BLACK,F,OTHERS,2018,365,20000
769,ZZSZWLJR,04/23/2018,BLACK,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018,1461,125000
770,ZZSRWWEC,04/23/2018,BLACK,F,INJURY OR RISK OF INJURY TO MINOR      F,2018,791,100200
771,ZZSRZLEL,04/23/2018,WHITE,M,OTHERS,2018,90,5000
772,ZZHCCHEE,04/23/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,609,75000
773,ZZHBZJRR,04/23/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,731,151000
774,ZZHCCLWH,04/23/2018,AMER IND,M,OTHERS,2018,274,175000
775,ZZSZCHWS,04/23/2018,WHITE,M,OTHERS,2018,731,47500
776,ZZHBRBRR,04/24/2018,HISPANIC,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018,732,210000
777,ZZHHWHCJ,04/24/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,0,90000
778,ZZHLWLCH,04/24/2018,HISPANIC,M,OTHERS,2018,60,5000
779,ZZRBBERL,04/24/2018,BLACK,M,OTHERS,2018,0,75000
780,ZZHWWRCL,04/24/2018,HISPANIC,M,OTHERS,2018,122,76000
781,ZZHRLZWL,04/24/2018,HISPANIC,M,OTHERS,2018,90,100000
782,ZZERCCEB,04/24/2018,WHITE,M,OTHERS,2018,0,15000
783,ZZEBBBZJ,04/24/2018,BLACK,M,OTHERS,2018,274,150000
784,ZZHJHSCS,04/24/2018,BLACK,F,OTHERS,2018,0,35000
785,ZZZLLEHZ,04/25/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,50000
786,ZZESCRBC,04/25/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,75000
787,ZZSRHWHL,04/25/2018,WHITE,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,0,20000
788,ZZHSCJEW,04/25/2018,WHITE,M,OTHERS,2018,244,50000
789,ZZHWZHWJ,04/25/2018,HISPANIC,M,OTHERS,2018,0,750000
790,ZZRJZWJL,04/25/2018,BLACK,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,152500
791,ZZSRWWLZ,04/25/2018,BLACK,F,"ASSAULT, FIRST DEGREE                 BF",2018,1461,150000
792,ZZSZJZJH,04/25/2018,WHITE,F,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,0,105000
793,ZZEHSCJE,04/25/2018,WHITE,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,913,50000
794,ZZSZZCLS,04/09/2018,WHITE,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,30,4500
795,ZZHLBZRJ,04/26/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,91,25000
796,ZZHBHECW,04/26/2018,BLACK,M,OTHERS,2018,60,50000
797,ZZEEHRRZ,04/26/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,120,50000
798,ZZSRWRLS,04/26/2018,WHITE,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,0,150000
799,ZZSEZBWR,04/26/2018,BLACK,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018,731,207000
800,ZZSRHECR,04/26/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,548,250000
801,ZZSRWWBE,04/26/2018,BLACK,M,OTHERS,2018,638,575000
802,ZZSZJZES,04/26/2018,BLACK,M,OTHERS,2018,0,5000
803,ZZRLBJCC,04/26/2018,BLACK,M,"BURGLARY, THIRD DEGREE                DF",2018,548,55500
804,ZZHESZWR,04/26/2018,HISPANIC,F,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,0,2000
805,ZZRELCZR,04/26/2018,BLACK,F,OTHERS,2018,122,1500
806,ZZEZEZLS,04/25/2018,WHITE,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,0,150000
807,ZZRJLRWJ,04/26/2018,WHITE,M,"BURGLARY, THIRD DEGREE                DF",2018,731,47500
808,ZZHJESCC,04/26/2018,HISPANIC,M,OTHERS,2018,1826,250500
809,ZZRWZCJL,04/26/2018,HISPANIC,M,OTHERS,2018,913,200000
810,ZZZJZJBL,04/27/2018,BLACK,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,152,11000
811,ZZRZRCLL,04/27/2018,BLACK,M,OTHERS,2018,120,30000
812,ZZRCSLSH,04/27/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,335,10000
813,ZZRCJSZS,04/27/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,125000
814,ZZRHEBBB,04/27/2018,WHITE,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,15000
815,ZZRJWRSS,04/30/2018,WHITE,M,"BURGLARY, THIRD DEGREE                DF",2018,183,75500
816,ZZHRLLWS,04/30/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,90,15000
817,ZZRHEJSW,04/30/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,274,60000
818,ZZHBEEJH,04/30/2018,WHITE,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,26000
819,ZZHSZSZZ,04/30/2018,WHITE,M,OTHERS,2018,183,3500
820,ZZSRWLRJ,04/30/2018,BLACK,M,"ASSAULT, FIRST DEGREE                 BF",2018,1826,350000
821,ZZRCLSJR,04/30/2018,HISPANIC,M,OTHERS,2018,274,76500
822,ZZSELERH,04/30/2018,HISPANIC,M,OTHERS,2018,0,1000000
823,ZZHBRZJL,04/30/2018,HISPANIC,F,VIOLATION OF PROBATION OR COND DISCHG,2018,365,150000
824,ZZHZRRSC,04/30/2018,WHITE,M,OTHERS,2018,45,56000
825,ZZSZWEWC,04/30/2018,BLACK,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018,0,125000
826,ZZRHBCJJ,04/30/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,304,25000
827,ZZRLZSHZ,05/01/2018,HISPANIC,M,"BURGLARY, THIRD DEGREE                DF",2018,913,50000
828,ZZSZRESZ,05/01/2018,HISPANIC,M,OTHERS,2018,3653,1200000
829,ZZSREZBR,05/01/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,548,10000
830,ZZHRRLHL,05/01/2018,BLACK,M,OTHERS,2018,3653,525000
831,ZZHHRLHB,04/09/2018,HISPANIC,M,OTHERS,2018,0,345000
832,ZZRLZHLJ,05/01/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,213,90000
833,ZZHCSWZH,05/01/2018,WHITE,M,"BURGLARY, THIRD DEGREE                DF",2018,732,42500
834,ZZSRWLWJ,05/01/2018,BLACK,M,OTHERS,2018,548,125000
835,ZZSEEEHR,05/02/2018,WHITE,M,OTHERS,2018,0,51000
836,ZZHSERSZ,05/02/2018,BLACK,F,INJURY OR RISK OF INJURY TO MINOR      F,2018,0,240500
837,ZZSRWLLB,05/02/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,0,105000
838,ZZEZZSCB,05/02/2018,BLACK,M,"ASSAULT, THIRD DEGREE                 AM",2018,274,51500
839,ZZSERWWS,05/02/2018,BLACK,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018,913,321000
840,ZZSRZBHW,05/02/2018,HISPANIC,M,"BURGLARY, THIRD DEGREE                DF",2018,365,70000
841,ZZRBBSEW,05/02/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,60000
842,ZZHRJHCW,05/02/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,548,500000
843,ZZSREJSC,05/02/2018,BLACK,M,OTHERS,2018,0,15050
844,ZZRJLBCB,05/02/2018,BLACK,M,OTHERS,2018,0,275200
845,ZZHRLJRC,05/02/2018,BLACK,M,OTHERS,2018,0,40000
846,ZZSRWHHB,05/02/2018,HISPANIC,M,OTHERS,2018,120,50000
847,ZZSEEWJC,05/03/2018,BLACK,M,OTHERS,2018,0,107500
848,ZZHJEZZH,05/03/2018,BLACK,F,OTHERS,2018,183,75500
849,ZZRHLHWS,05/03/2018,WHITE,M,OTHERS,2018,1096,90000
850,ZZSRWLJJ,05/03/2018,WHITE,F,OTHERS,2018,0,503000
851,ZZHCHBEW,05/03/2018,WHITE,F,INJURY OR RISK OF INJURY TO MINOR      F,2018,0,227550
852,ZZRLCHWL,05/03/2018,WHITE,M,OTHERS,2018,0,90500
853,ZZHREBHB,05/03/2018,HISPANIC,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018,0,351000
854,ZZSEEREW,05/03/2018,BLACK,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,304,60000
855,ZZHCRJJC,05/02/2018,BLACK,M,OTHERS,2018,1096,150250
856,ZZSZBELE,05/03/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,457,20000
857,ZZSRWLJE,05/03/2018,BLACK,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,2009,45000
858,ZZRRRWHS,05/04/2018,HISPANIC,M,"ASSAULT, THIRD DEGREE                 AM",2018,90,20000
859,ZZHWCRRJ,05/04/2018,BLACK,M,OTHERS,2018,0,75000
860,ZZHEBJLL,05/04/2018,BLACK,M,OTHERS,2018,90,1500
861,ZZRBEZSC,05/04/2018,HISPANIC,M,"ASSAULT, THIRD DEGREE                 AM",2018,60,7500
862,ZZRHCBEH,05/04/2018,BLACK,M,OTHERS,2018,0,51200
863,ZZHZWCJE,03/23/2018,WHITE,M,OTHERS,2018,30,30000
864,ZZHJRLHR,05/04/2018,WHITE,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,0,185000
865,ZZHBZZBB,05/07/2018,BLACK,M,"BURGLARY, THIRD DEGREE                DF",2018,0,60600
866,ZZHCREEH,05/07/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,274,25000
867,ZZSRRJCS,05/07/2018,BLACK,M,OTHERS,2018,731,300000
868,ZZRBSZWC,05/07/2018,BLACK,M,OTHERS,2018,731,150000
869,ZZSZSERE,05/07/2018,BLACK,F,OTHERS,2018,0,15000
870,ZZSEBBZS,05/07/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,30,38750
871,ZZHBWCLW,05/07/2018,BLACK,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,107500
872,ZZSRWCSR,05/07/2018,WHITE,F,OTHERS,2018,0,33050
873,ZZSRRRSR,04/03/2018,BLACK,M,"ROBBERY, FIRST DEGREE                 BF",2018,1096,251000
874,ZZRLZWHC,05/07/2018,WHITE,M,OTHERS,2018,90,10000
875,ZZSZSSLZ,05/07/2018,HISPANIC,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,0,13300
876,ZZEEESLL,05/07/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,122,70050
877,ZZHESSES,05/07/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,30,2500
878,ZZHBEWLC,05/07/2018,BLACK,M,OTHERS,2018,1096,900000
879,ZZHCLBRS,05/07/2018,BLACK,F,OTHERS,2018,548,35000
880,ZZHWLZCL,05/07/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,100000
881,ZZHJBEHC,05/07/2018,BLACK,M,OTHERS,2018,0,200000
882,ZZHBRSSZ,05/08/2018,HISPANIC,M,OTHERS,2018,120,25000
883,ZZHCLJBW,05/08/2018,WHITE,M,OTHERS,2018,90,10000
884,ZZSZCJZB,05/08/2018,WHITE,F,"ROBBERY, FIRST DEGREE                 BF",2018,0,50000
885,ZZHLHLLR,05/08/2018,BLACK,M,OTHERS,2018,120,7600
886,ZZHEZLBZ,05/08/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,30,2500
887,ZZSERCCJ,05/08/2018,HISPANIC,M,OTHERS,2018,365,95000
888,ZZHBLSZE,05/08/2018,HISPANIC,F,OTHERS,2018,0,170000
889,ZZHHBCRB,05/08/2018,WHITE,M,OTHERS,2018,0,200000
890,ZZHJSWRE,05/08/2018,WHITE,M,OTHERS,2018,0,145050
891,ZZHSLHSW,05/08/2018,WHITE,F,OTHERS,2018,0,105000
892,ZZSZWBEC,05/08/2018,BLACK,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018,0,350750
893,ZZHLHHRJ,05/08/2018,BLACK,M,"ROBBERY, FIRST DEGREE                 BF",2018,3653,695000
894,ZZHLHHBZ,05/08/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,548,85500
895,ZZHBZEJH,05/08/2018,BLACK,M,OTHERS,2018,2192,525100
896,ZZHECJLH,05/09/2018,HISPANIC,M,OTHERS,2018,0,75000
897,ZZHLCBSJ,05/09/2018,BLACK,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018,731,225000
898,ZZEHSHCE,05/09/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,213,75000
899,ZZHJLRRR,05/09/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,122,15000
900,ZZHSCLSJ,05/09/2018,WHITE,M,OTHERS,2018,731,99000
901,ZZSRWCLZ,05/09/2018,WHITE,M,OTHERS,2018,0,750000
902,ZZHRZSZS,05/09/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,731,256100
903,ZZSEWHHH,05/09/2018,HISPANIC,M,OTHERS,2018,0,75000
904,ZZSRZBHW,05/02/2018,HISPANIC,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,0,135000
905,ZZSECEJE,05/09/2018,BLACK,M,OTHERS,2018,0,1000
906,ZZSRSLBZ,05/09/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,90,75000
907,ZZSRWCCB,05/09/2018,HISPANIC,F,OTHERS,2018,365,60000
908,ZZHJZRWH,05/09/2018,WHITE,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,82000
909,ZZHCSJJW,05/10/2018,HISPANIC,M,"ASSAULT, FIRST DEGREE                 BF",2018,1826,501000
910,ZZSZECEH,05/10/2018,WHITE,M,"BURGLARY, THIRD DEGREE                DF",2018,731,30200
911,ZZREHCWB,05/10/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,122,20500
912,ZZSRZCSW,05/10/2018,WHITE,M,OTHERS,2018,731,100000
913,ZZHJWRHL,05/10/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,60,40000
914,ZZHLLRCB,05/10/2018,HISPANIC,M,"ASSAULT, THIRD DEGREE                 AM",2018,183,40000
915,ZZHBSJCC,05/10/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,91,10000
916,ZZHBSELC,05/11/2018,HISPANIC,F,VIOLATION OF PROBATION OR COND DISCHG,2018,1096,225500
917,ZZHBJJEL,05/11/2018,WHITE,M,"ASSAULT, THIRD DEGREE                 AM",2018,274,45000
918,ZZHHELCC,05/11/2018,WHITE,M,OTHERS,2018,90,25000
919,ZZSEHWWL,04/23/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,105,100500
920,ZZHRLWWH,05/11/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,244,15000
921,ZZHRBHLC,05/11/2018,BLACK,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,457,70100
922,ZZSECSCE,05/11/2018,WHITE,F,OTHERS,2018,548,50100
923,ZZSRZWCS,05/11/2018,BLACK,M,"ROBBERY, FIRST DEGREE                 BF",2018,0,150000
924,ZZHHWSJL,05/11/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,548,110000
925,ZZRSBHCR,05/13/2018,WHITE,M,"ASSAULT, THIRD DEGREE                 AM",2018,274,50000
926,ZZRRCCLR,05/14/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,30000
927,ZZHZWJJJ,05/14/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,244,25000
928,ZZSRSHRC,05/14/2018,HISPANIC,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,244,175400
929,ZZELHWSC,05/14/2018,BLACK,F,OTHERS,2018,913,150000
930,ZZSRRCHL,05/14/2018,WHITE,M,OTHERS,2018,0,350000
931,ZZSRSBBB,05/14/2018,HISPANIC,M,"BURGLARY, THIRD DEGREE                DF",2018,731,82000
932,ZZSRWBEJ,05/14/2018,HISPANIC,M,OTHERS,2018,90,2500
933,ZZHWCBZW,05/14/2018,WHITE,M,"BURGLARY, THIRD DEGREE                DF",2018,731,127500
934,ZZSEHLWR,05/14/2018,HISPANIC,M,OTHERS,2018,1461,65000
935,ZZRJLCHC,05/14/2018,BLACK,M,OTHERS,2018,0,120000
936,ZZSEZCHR,02/09/2018,BLACK,M,OTHERS,2018,0,65000
937,ZZECEEJH,05/14/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,10000
938,ZZZJEBSR,05/14/2018,BLACK,M,"BURGLARY, THIRD DEGREE                DF",2018,822,100000
939,ZZSEEZJL,05/14/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,244,50000
940,ZZHLEHZR,05/14/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,548,50000
941,ZZEHZZRJ,05/15/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,731,25000
942,ZZRWCJRR,05/15/2018,BLACK,M,OTHERS,2018,90,10050
943,ZZSZLBZJ,05/15/2018,BLACK,M,OTHERS,2018,0,200000
944,ZZHLHLBS,05/15/2018,HISPANIC,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,365,125250
945,ZZZCCEBB,05/15/2018,BLACK,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,365,1000000
946,ZZHCCSLL,05/15/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,548,101500
947,ZZEZJJEE,05/15/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,120,50000
948,ZZEZWZHL,05/15/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,60,25000
949,ZZESEZJW,05/15/2018,BLACK,F,VIOLATION OF PROBATION OR COND DISCHG,2018,274,10050
950,ZZRHJSCH,05/15/2018,HISPANIC,M,OTHERS,2018,0,57500
951,ZZSREHZC,05/15/2018,WHITE,M,OTHERS,2018,548,70000
952,ZZRSJEHJ,05/15/2018,HISPANIC,F,VIOLATION OF PROBATION OR COND DISCHG,2018,60,5000
953,ZZSRRWRE,05/09/2018,BLACK,M,OTHERS,2018,913,150000
954,ZZECCSCJ,05/10/2018,BLACK,F,OTHERS,2018,183,15500
955,ZZSRWBSJ,05/16/2018,BLACK,M,OTHERS,2018,365,10000
956,ZZRLJECJ,05/16/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,90,35000
957,ZZHSWRBB,05/16/2018,WHITE,F,OTHERS,2018,639,10200
958,ZZEHSRWS,05/16/2018,BLACK,M,OTHERS,2018,183,201100
959,ZZRZBSCJ,05/16/2018,BLACK,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,100000
960,ZZEJRHJE,05/16/2018,HISPANIC,M,OTHERS,2018,183,27550
961,ZZHSBRHJ,05/16/2018,BLACK,M,OTHERS,2018,731,86000
962,ZZSRWBLE,05/16/2018,HISPANIC,F,OTHERS,2018,244,250000
963,ZZHBWHRJ,05/16/2018,HISPANIC,M,OTHERS,2018,365,77500
964,ZZECHHHB,05/16/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,50000
965,ZZSEBLJW,05/16/2018,BLACK,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,0,300000
966,ZZSRWBWE,05/16/2018,BLACK,M,OTHERS,2018,274,5000
967,ZZSEZLSS,05/16/2018,HISPANIC,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,30,1000
968,ZZSRSSBL,05/16/2018,WHITE,F,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,0,20000
969,ZZHCLHZB,05/17/2018,HISPANIC,M,OTHERS,2018,0,35000
970,ZZEBEWSR,05/17/2018,BLACK,M,OTHERS,2018,365,75030
971,ZZRERZEC,05/17/2018,HISPANIC,M,OTHERS,2018,0,50400
972,ZZSESCEH,05/17/2018,HISPANIC,F,"ASSAULT, FIRST DEGREE                 BF",2018,0,226000
973,ZZSZLBBB,05/16/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,457,250000
974,ZZSRRBBZ,05/02/2018,BLACK,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,548,210000
975,ZZHWEJCS,05/14/2018,HISPANIC,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,0,181000
976,ZZHCSWEB,05/17/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,60,15000
977,ZZHRLLRC,05/17/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,731,150000
978,ZZZCLJLC,03/21/2018,BLACK,M,OTHERS,2018,30,118050
979,ZZEJHHLR,05/18/2018,WHITE,M,"ASSAULT, THIRD DEGREE                 AM",2018,731,100000
980,ZZZBWCCJ,05/18/2018,BLACK,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,183,3000
981,ZZSZWWWE,05/18/2018,WHITE,F,OTHERS,2018,913,255600
982,ZZHZLBBZ,05/18/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,548,102500
983,ZZHCZZWB,05/18/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,0,40000
984,ZZRJWSHS,05/18/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,274,50250
985,ZZHLSRRC,05/18/2018,HISPANIC,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018,1096,250500
986,ZZHRCBEE,03/16/2018,WHITE,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,732,286000
987,ZZSRWJZS,05/18/2018,WHITE,M,OTHERS,2018,244,100000
988,ZZSEEECR,05/18/2018,WHITE,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,548,40000
989,ZZSERRJJ,05/18/2018,BLACK,M,OTHERS,2018,0,340000
990,ZZZWBEEE,05/18/2018,BLACK,M,OTHERS,2018,120,5300
991,ZZRWZWRZ,05/21/2018,HISPANIC,M,OTHERS,2018,457,35000
992,ZZEWZCEW,05/21/2018,BLACK,M,OTHERS,2018,365,6000
993,ZZHWEECR,05/14/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,91,10000
994,ZZHRZLSJ,05/21/2018,BLACK,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,365,250500
995,ZZRHLZHS,05/21/2018,WHITE,M,OTHERS,2018,120,70000
996,ZZRWCWRR,05/21/2018,HISPANIC,M,OTHERS,2018,0,55000
997,ZZRRJSJZ,05/21/2018,BLACK,M,"BURGLARY, THIRD DEGREE                DF",2018,548,65050
998,ZZRRLBSE,05/21/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,2500
999,ZZHZHJRH,05/21/2018,HISPANIC,M,OTHERS,2018,60,3000
1000,ZZRRSWBR,05/21/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,60,50000
1001,ZZHJJCRL,05/21/2018,WHITE,M,OTHERS,2018,1461,50000
1002,ZZEJCJZS,05/21/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,20100
1003,ZZSELSSC,05/22/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,548,100000
1004,ZZRHZJCL,05/22/2018,WHITE,M,OTHERS,2018,3653,120300
1005,ZZHBWZSR,05/22/2018,WHITE,M,OTHERS,2018,0,56000
1006,ZZSRZCJH,05/22/2018,BLACK,F,OTHERS,2018,0,96500
1007,ZZHWHWJW,05/22/2018,HISPANIC,M,OTHERS,2018,183,75000
1008,ZZSEBCLW,05/22/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,122,26000
1009,ZZRLBZCJ,05/22/2018,BLACK,F,VIOLATION OF PROBATION OR COND DISCHG,2018,365,30000
1010,ZZEHWLHH,05/23/2018,BLACK,M,"ASSAULT, THIRD DEGREE                 AM",2018,152,100000
1011,ZZRRBHHS,05/23/2018,BLACK,M,OTHERS,2018,0,150500
1012,ZZSEBZZZ,05/23/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,183,15000
1013,ZZHCCHEC,05/23/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,152,12500
1014,ZZHCSWWH,05/23/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,548,30000
1015,ZZHZWJWB,05/23/2018,WHITE,M,OTHERS,2018,365,10100
1016,ZZHBZCBJ,05/23/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,548,175050
1017,ZZRLJZCR,05/23/2018,BLACK,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,731,200000
1018,ZZSRWJLR,05/23/2018,HISPANIC,M,OTHERS,2018,0,500000
1019,ZZHLBSZJ,05/23/2018,WHITE,M,OTHERS,2018,365,75000
1020,ZZHCLRRZ,05/23/2018,WHITE,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,183,100200
1021,ZZHSJRJS,05/23/2018,BLACK,M,"BURGLARY, THIRD DEGREE                DF",2018,0,375000
1022,ZZHCEBSR,05/23/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,213,50000
1023,ZZHSRLZE,05/23/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,31000
1024,ZZRCWHBZ,05/24/2018,HISPANIC,M,OTHERS,2018,0,150000
1025,ZZRLBEBL,05/24/2018,HISPANIC,M,"BURGLARY, THIRD DEGREE                DF",2018,183,15000
1026,ZZSERWJE,05/24/2018,HISPANIC,M,OTHERS,2018,913,260000
